축제명,간단한 소개,내용글,상세내용,포스터 이미지,이미지1,이미지2,이미지3,시작일,종료일,주소,운영기관,연락처
부산스텝업댄스페스티벌,부산에서 펼쳐지는 세계적인 댄스 경연!,"부산스텝업댄스페스티벌은 부산을 대표하는 청년 문화 축제이다. 다양한 스트릿댄스 경연과 부대 프로그램을 통해 열정과 젊음을 선보이는 자리이다. 총 5개의 프로그램으로 작년에 이어 2개의 프로그램을 추가하여 운영된다. 주요 대회는 월드 스트릿 1:1 배틀, 댄스 퍼포먼스 월드 챔피언십, 부산 대표 선발전, 주니어 퍼포먼스 챔피언십, K-POP 커버댄스 챔피언십 등이 있으며, 치열한 경쟁 속에서 최강의 댄서를 가리는 무대가 펼쳐진다. 또한, 스텝업 스트릿 마켓, 워너비 토크쇼, 댄스 클래스 등의 부대 프로그램도 마련되어 있어 관객들이 다채로운 문화 경험을 즐길 수 있다.이 축제는 청년들이 직접 참여하는 행사로, 시민들과 함께 소통하며 부산의 문화적 활력을 높이는 데 기여하고 있다.
[행사내용]
메인 프로그램
1.개막식
2.부산대표선발전
3.월드 스트릿 1:1 배틀
4.댄스 퍼포먼스 월드 챔피언십

서브 프로그램
1.주니어 퍼포먼스 챔피언십
2. K-pop커버댄스 챔피언십

부대 프로그램
1. 스텝업 스트릿 마켓
2. 스텝업 콘서트
3. 댄스 클래스
4. 워너비 토크쇼","[행사내용]
메인 프로그램
1.개막식
2.부산대표선발전
3.월드 스트릿 1:1 배틀
4.댄스 퍼포먼스 월드 챔피언십

서브 프로그램
1.주니어 퍼포먼스 챔피언십
2. K-pop커버댄스 챔피언십

부대 프로그램
1. 스텝업 스트릿 마켓
2. 스텝업 콘서트
3. 댄스 클래스
4. 워너비 토크쇼",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/cc5f111b-09a7-4238-86d0-1fc3362bbf05_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_cc5f111b-09a7-4238-86d0-1fc3362bbf05_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_cc5f111b-09a7-4238-86d0-1fc3362bbf05_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_cc5f111b-09a7-4238-86d0-1fc3362bbf05_6.jpg,2025-05-16,2025-05-18,부산광역시 해운대구 수영강변대로 120 (우동) 영화의전당,"부산광역시,부산일보,(사)청년문화진흥협회",051-461-4437
부산원도심활성화축제 [택슐랭],"베테랑 택시기사가 추천하는 현지 찐 맛집, 택슐랭","택슐랭을 통해 만나보는 부산 원도심의 맛!
'택슐랭'은 택시+미슐랭의 합성어로, 10년 이상 경력의 베테랑 택시기사님들이 추천하는 현지 찐 맛집을 중심으로 공연, 체험, 투어까지 함께 즐길 수 있는 축제이다. 올해는 한국 전쟁 이후 피란민들이 정착하며 형성된 부산 원도심의 미식세계를 탐방할 수 있다. 제10회 부산원도심활성화축제 택슐랭은 부산의 원도심 권역 중구, 서구, 동구, 영도구 일대에서 만나볼 수 있다.
[행사내용]
1. 메인프로그램 : 택슐랭 가이드
2. 부대프로그램 : 택슐랭 오픈세레머니
3. 소비자 참여 프로그램 : 미식 투어, 도보 투어","[행사내용]
1. 메인프로그램 : 택슐랭 가이드
2. 부대프로그램 : 택슐랭 오픈세레머니
3. 소비자 참여 프로그램 : 미식 투어, 도보 투어",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/0badb6d4-792d-4ea9-966a-b4cf56025a16_3.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_0badb6d4-792d-4ea9-966a-b4cf56025a16_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_0badb6d4-792d-4ea9-966a-b4cf56025a16_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_0badb6d4-792d-4ea9-966a-b4cf56025a16_6.jpg,2025-05-16,2025-05-18,부산광역시 동구 중앙대로 210 (초량동),부산광역시/부산문화관광축제조직위원회,051-713-5000
우리 임산물 숲푸드 대축제,우리 임산물을 알고 즐기며 가정의 달을 맞아 선물까지!,"우리 임산물 소비 촉진을 위한 행사로, 전국의 다양한 임산물에 대해 소개하며 국민들이 임산물을 보다 가깝게 느낄 수 있도록 하기 위함이다. 전국의 다양한 임산물 종류를 접하고, 임산물을 활용한 다양한 식품, 지역 특산물 등을 만나 볼 수 있는 축제이다. 숲에서 자란 건강하고 맛있는 먹거리들을 직접 체험하고 구매하며 즐기는 내용으로, 판매 프로그램뿐 아니라 참가자가 즐길 수 있는 체험 프로그램, 눈과 귀를 즐겁게 해 줄 무대 공연 프로그램 등이 준비되어 있다.
[행사내용]
1. 메인프로그램 : 상설 판매 / 전시 / 이벤트 / 다이닝 프로그램
2. 부대프로그램 : 마술공연, 버블쇼, 쿠킹클래스 등의 무대 프로그램
3. 소비자 참여 프로그램 : 한호흡챌린지(긴 문장을 한 호흡에 이어 말하면 성공하는 챌린지)","[행사내용]
1. 메인프로그램 : 상설 판매 / 전시 / 이벤트 / 다이닝 프로그램
2. 부대프로그램 : 마술공연, 버블쇼, 쿠킹클래스 등의 무대 프로그램
3. 소비자 참여 프로그램 : 한호흡챌린지(긴 문장을 한 호흡에 이어 말하면 성공하는 챌린지)",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/650ede5e-234e-4efb-b696-97bfcbb1378a_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_650ede5e-234e-4efb-b696-97bfcbb1378a_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_650ede5e-234e-4efb-b696-97bfcbb1378a_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_650ede5e-234e-4efb-b696-97bfcbb1378a_6.jpg,2025-05-16,2025-05-17,서울특별시 종로구 세종대로 175 (세종로) 광화문광장 육조마당 일대,산림청/한국임업진흥원,02-545-0639
울산축협 한우축제,"봄 향기 가득, 한우의 풍미로 물들다 !","제2회 울산축협 한우축제가 오는 5월 울산에서 개최될 예정이다. 이번 축제는 울산의 대표적인 농업 특산물인 한우를 주제로 한 대규모 행사로, 다양한 프로그램과 먹거리가 마련될 예정이다. 축제의 주요 프로그램으로는 한우 요리 체험, 다양한 공연, 지역 특산물 전시 및 판매 부스 등이 있으며, 방문객들은 고품질의 한우를 저렴한 가격에 맛보고 구매할 수 있는 기회를 얻게 될 것이다. 축제 기간 동안 한우와 관련된 다양한 체험 프로그램이 준비되어 있어 가족 단위 방문객들도 함께 즐길 수 있을 예정이다. 또한, 지역 농가에서 직접 기른 한우를 판매하는 행사도 진행되어 지역 경제 활성화에 기여할 것으로 기대된다. 이번 울산축협 한우축제는 한우의 우수성을 널리 알리고, 지역 주민과 관광객들에게 다양한 즐길 거리를 제공하며, 울산을 대표하는 새로운 축제로 자리매김할 것이다.
[행사내용]
1. 개막식

2. 무대 공연프로그램
- 개막식, 축하공연, 한우경매, 시민참여 노래자랑
- 상설 버스킹 공연 등

3. 울산축협한우 우수성 홍보 프로그램
- 한우데이 캠페인 (울산축협한우 VS 수입산 비교)
- 울산축협한우 브랜드 홍보 및 할인 판매
- 울산축협한우 구이터 및 관람객 쉼터 운영
- 한우요리 비법교실 등

4. 참여․체험 프로그램
- 울산특산품 홍보관, 플리마켓 및 공예체험 프로그램
- 한우 레크레이션 등

5. 부대 편의 프로그램
- 푸드트럭, 키즈 놀이터 등","[행사내용]
1. 개막식

2. 무대 공연프로그램
- 개막식, 축하공연, 한우경매, 시민참여 노래자랑
- 상설 버스킹 공연 등

3. 울산축협한우 우수성 홍보 프로그램
- 한우데이 캠페인 (울산축협한우 VS 수입산 비교)
- 울산축협한우 브랜드 홍보 및 할인 판매
- 울산축협한우 구이터 및 관람객 쉼터 운영
- 한우요리 비법교실 등

4. 참여․체험 프로그램
- 울산특산품 홍보관, 플리마켓 및 공예체험 프로그램
- 한우 레크레이션 등

5. 부대 편의 프로그램
- 푸드트럭, 키즈 놀이터 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/2d3a3db8-5d3e-4df5-96a5-d0997602d907_3.jpg,,,,2025-05-16,2025-05-18,울산광역시 남구 신정동 1513 울산광역시 태화강 남구둔치,"울산축산농협, 울산축협한우/경상일보",052-220-0613
장항항 수산물 꼴갑축제,장항항의 명물 꼴뚜기와 갑오징어를 같이 맛보고 즐길 수 있는 축제,"봄매년 5-6월이면 충남 서천군 장항항에서 서천군 어민회 주최로 꼴갑축제가 개최된다. 축제장에서는 각종 신선한 회뿐 아니라, 서천의 우수한 수산물을 알리기 위한 시식행사도 진행하며, 우리 수협에서 위판된 수산물, 건어물 등 판매장을 통하여 저렴한 가격에 제공할 예정이다. 이와 함께 장항항에서 금강을 바라보며 쫄깃한 회를 맛볼 수 있는 수변 회카페도 운영하고 있다. 동서천 요금소에서부터 10km가량 쭉 뻗은 금강하구 해안도로를 달리고, 장항제련소 굴뚝, 놀이공원, 한산 신성리갈대밭(JSA 영화 촬영지), 한산모시관 등을 구경하고 축제장에서 먹을거리로 배까지 부르고 일석 몇조의 효과가 기대되는 꼴갑축제이다.
[행사내용]
대표 프로그램
- 갑오징어 꼴뚜기 요리장터
- 갑오징어 광어 맨손잡기 체험
- 수산물 깜짝 경매
- 서천군 특산품 판매장","[행사내용]
대표 프로그램
- 갑오징어 꼴뚜기 요리장터
- 갑오징어 광어 맨손잡기 체험
- 수산물 깜짝 경매
- 서천군 특산품 판매장",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/9e2a49b2-8b1e-42aa-ae53-3a6ce4ad0ccc_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_9e2a49b2-8b1e-42aa-ae53-3a6ce4ad0ccc_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_9e2a49b2-8b1e-42aa-ae53-3a6ce4ad0ccc_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_9e2a49b2-8b1e-42aa-ae53-3a6ce4ad0ccc_6.jpg,2025-05-16,2025-05-25,충청남도 서천군 장산로 232  서천군 장항항 물양장 일원,(사)서천군어민회,041-956-7383
중랑 서울장미축제,서울에서 가장 예쁜 축제,"2005년 중랑천 둔치 공원화 사업으로 심기 시작했던 장미가 오랜 시간이 지나면서 아름다운 장미터널을 형성하였고 이를 바탕으로 5.45KM의 국내 최대 규모의 장미터널을 적극 활용하여 도심 속에서 아름다운 장미와 함께 다양한 문화 체험, 공연까지 즐길 수 있는 축제이다.
[행사내용]
1. 메인프로그램 (5.16.~5.18.)
- 5.16.(금) happy rose day: 중랑서울장미축제 걷기대회, 장미퍼레이드, 사전공연, 개막퍼포먼스, happy rose 콘서트 등
- 5.17.(토) romantic rose day: 중랑로즈어게인, 장미합창대회, romantic rose 콘서트
- 5.18.(일) love rose doy: 중랑구민대상 시상식, 장미가요제 등
- 5.24.(토) 중랑아티스트 페스티벌

2. 부대프로그램(5.16.~5.18.)
- 장미버스킹, 역사전시, 제로즈마켓, 로즈마켓, 전통시장, 중소기업 부스 운영","[행사내용]
1. 메인프로그램 (5.16.~5.18.)
- 5.16.(금) happy rose day: 중랑서울장미축제 걷기대회, 장미퍼레이드, 사전공연, 개막퍼포먼스, happy rose 콘서트 등
- 5.17.(토) romantic rose day: 중랑로즈어게인, 장미합창대회, romantic rose 콘서트
- 5.18.(일) love rose doy: 중랑구민대상 시상식, 장미가요제 등
- 5.24.(토) 중랑아티스트 페스티벌

2. 부대프로그램(5.16.~5.18.)
- 장미버스킹, 역사전시, 제로즈마켓, 로즈마켓, 전통시장, 중소기업 부스 운영",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/eae0362f-261d-45ab-aca5-3123278d2763_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_eae0362f-261d-45ab-aca5-3123278d2763_4.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_eae0362f-261d-45ab-aca5-3123278d2763_5.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_eae0362f-261d-45ab-aca5-3123278d2763_6.JPG,2025-05-16,2025-05-24,서울특별시 중랑구 묵동 375 중랑장미공원,중랑문화재단,02-3407-6530
태화강 국가정원 봄꽃축제,"봄의 정원, 꽃놀이 가자","태화강 국가정원의 자연경관과 정원시설을 만끽할 수 있도록 매년 5월경 태화강 국가정원 봄꽃축제를 개최하고 있다. 28,000㎡에 달하는 초화단지에 봄의 정취를 느낄 수 있는 꽃양귀비, 수레국화, 금영화, 안개초 등 다양한 초화류를 식재하고 각종 행사, 포토존 등을 마련하여 방문객에게 다채로운 볼거리를 제공하고 있다. 특히 올해 봄꽃축제는 2028 울산국제정원박람회 개최와 함께 산림청과 합동으로 이동형 반려식물 클리닉 운영과 우리가족 정원 만들기 체험 등 다양한 정원체험 프로그램을 준비하였으며 국가정원 내 봄꽃 향기와 대숲의 바람을 함께 느낄수 있는 지역의 대표적인 축제로 매년 많은 방문객들이 국가정원을 찾고 있다.
[행사내용]
- 품격 높은 개막 행사 : 식전공연(왈츠 댄스)으로 가든파티 분위기 UP, (봄꽃 새싹 물주기)개막 퍼포먼스 강화
- 산림청 참여 프로그램 : 이동형 반려식물 클리닉 확대(2→3일) 운영
- 모두가 즐길 수 있는 다양한 프로그램 : 정원체험(플레이, 키친가든) 부스 확대, 우리가족 정원 만들기 체험, 목공예 체험 운영 등
- 축제 인프라 확충 : (박람회 홍보용)대형 꽃 조형물 및 글자 포토존 설치, 그늘 쉼터(파라솔), 야간 경관조명 확대","[행사내용]
- 품격 높은 개막 행사 : 식전공연(왈츠 댄스)으로 가든파티 분위기 UP, (봄꽃 새싹 물주기)개막 퍼포먼스 강화
- 산림청 참여 프로그램 : 이동형 반려식물 클리닉 확대(2→3일) 운영
- 모두가 즐길 수 있는 다양한 프로그램 : 정원체험(플레이, 키친가든) 부스 확대, 우리가족 정원 만들기 체험, 목공예 체험 운영 등
- 축제 인프라 확충 : (박람회 홍보용)대형 꽃 조형물 및 글자 포토존 설치, 그늘 쉼터(파라솔), 야간 경관조명 확대",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddc3290a-9643-49ce-92e4-5ba215d36b96_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddc3290a-9643-49ce-92e4-5ba215d36b96_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddc3290a-9643-49ce-92e4-5ba215d36b96_5.jpg,2025-05-16,2025-05-18,울산광역시 중구 샛강남길 5 (태화동),울산광역시,052-229-7562
하동 북천 꽃양귀비 축제,별천지 하동 꽃천지 북천,"봄꽃 축제인 꽃양귀비 축제는 꽃천지 명소로서의 명성을 이어 해마다 많은 관광객이 방문하여 올해로 11회째를 맞고 있으며 전국 최대 면적의 동계 경관작물 재배로 축제를 개최하여 지역을 알리는 축제로 자리 잡고 있다. 경관보전 직불제 사업으로 추진하는 축제는 ""문화관광의 고장"" 하동의 매력과 더불어 농촌의 정취와 경관을 체험할 수 있는 프로그램들로 구성되며, 축제의 중요한 특징 중 하나는 시골 간이역에 레일바이크를 운행하여 꽃밭 사이로 지나가는 코스로 고향역에 대한 향수와 농촌의 낭만을 만끽할 수 있는 축제이다.
[행사내용]
- 관광객 노래자랑, 축제장 꽃밭 관람","[행사내용]
- 관광객 노래자랑, 축제장 꽃밭 관람",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/7190da4b-2cf5-4dbb-8148-aa10877ab5f2_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_7190da4b-2cf5-4dbb-8148-aa10877ab5f2_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_7190da4b-2cf5-4dbb-8148-aa10877ab5f2_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_7190da4b-2cf5-4dbb-8148-aa10877ab5f2_6.jpg,2025-05-16,2025-05-25,경상남도 하동군 북천면 경서대로 2253-9 북천면 직전리일원,하동북천코스모스메밀꽃 영농조합법인,055-884-7416
한강페스티벌,두근두근 한강,"올해도 한강의 봄은 온 가족이 함께 즐길 수 있는 다양한 프로그램이 진행된다. 동화 속 이야기를 담은 가족 뮤지컬, 내가 직접 주인공이 되는 퍼레이드, 한강을 배경으로 마음껏 뛰어놀 수 있는 놀이터까지 준비되어있다. 경복궁을 짓기 위해 목숨을 바친 ‘정선 뗏군’의 이야기를 담은 멋들어진 정선아리랑 공연, 산들바람과 함께 내면의 평화를 찾는 무소음요가, 이제는 봄에도 즐길 수 있는 요트, 카약 체험 등 겨우내 메말랐던 감성을 채워줄 프로그램도 준비되어 있다. 봄이면 봄마다 찾아오는 한강의 다채로운 프로그램들을 다양하게 즐길 수 있다.
[행사내용]
1. 휴식 프로그램: 한강에서 즐기는 카약과 요트 체험, 한강변 산들바람과 내면의 평화를 찾는 요가 등
2. 문화 프로그램: 동화 속 이야기를 담은 뮤지컬과 퍼레이드, 서울에서 만나는 멋들어진 정선 아리랑 공연, 무선 헤드셋을 착용하고 디제잉을 들으며 춤추는 무소음DJ파티 등
3. 그밖에 한강 야외 도서관, 잠수교에서 두발로 걸으며 만나는 낭만산책, 전국 대학생 노래자랑 대학가요제 등","[행사내용]
1. 휴식 프로그램: 한강에서 즐기는 카약과 요트 체험, 한강변 산들바람과 내면의 평화를 찾는 요가 등
2. 문화 프로그램: 동화 속 이야기를 담은 뮤지컬과 퍼레이드, 서울에서 만나는 멋들어진 정선 아리랑 공연, 무선 헤드셋을 착용하고 디제잉을 들으며 춤추는 무소음DJ파티 등
3. 그밖에 한강 야외 도서관, 잠수교에서 두발로 걸으며 만나는 낭만산책, 전국 대학생 노래자랑 대학가요제 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/ddee73b5-d818-4d73-b06e-8d5294df701b_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddee73b5-d818-4d73-b06e-8d5294df701b_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddee73b5-d818-4d73-b06e-8d5294df701b_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ddee73b5-d818-4d73-b06e-8d5294df701b_6.jpg,2025-05-16,2025-05-18,서울특별시 광진구 강변북로 2202 (자양동) 뚝섬한강공원 자벌레 옆 잔디마당 등,서울특별시 미래한강본부,02-120
해운대 모래축제,모래로 만나는 K-컬처,"전국 최대 규모의 모래를 소재로 한 친환경 전시회인 ‘해운대 모래축제’가 20주년을 맞아 ‘모래로 만나는 K-컬처’를 주제로 개최된다. 이번 축제는 2025년 5월 16일(금)부터 5월 19일(월)까지 해운대해수욕장과 해운대 광장(구남로)에서 열리며, 모래작품전, 개막행사, 샌드보드, 샌드전망대, 모래조각 등 다채로운 프로그램이 있다. 20주년을 맞이해 더욱 풍성해진 볼거리와 체험 프로그램이 준비되어있다.
[행사내용]
대표 프로그램
- 세계모래작품전(주제작품전, 20주년 특별전)
- 개막행사, 해수욕장 공연행사, 주제 관련 전시행사
- 샌드보드, 모래조각 체험, 어린이 모래놀이터 등 체험프로그램

※ 모래조각은 2025. 6. 8.(일)까지 전시","[행사내용]
대표 프로그램
- 세계모래작품전(주제작품전, 20주년 특별전)
- 개막행사, 해수욕장 공연행사, 주제 관련 전시행사
- 샌드보드, 모래조각 체험, 어린이 모래놀이터 등 체험프로그램

※ 모래조각은 2025. 6. 8.(일)까지 전시",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/dfe9d368-1df3-491a-8643-db0dd0055422_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_dfe9d368-1df3-491a-8643-db0dd0055422_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_dfe9d368-1df3-491a-8643-db0dd0055422_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_dfe9d368-1df3-491a-8643-db0dd0055422_6.jpg,2025-05-16,2025-05-19,부산광역시 해운대구 해운대해변로 280 (중동) 해운대 해수욕장,해운대구,051-742-3689
대구앞산축제,한국관광100선에 선정된 도심 속 힐링 공간인 ‘앞산’에서 펼쳐지는 대구 남구의 대표축제,"한국관광 100선에 선정된 도심 속 힐링 공간인 ‘앞산’에서 펼쳐지는 대구 남구 대표축제이다. 더욱 화려해진 무대와 다양한 프로그램으로 앞산의 진정한 매력을 알린다.
[행사내용]
1. 메인프로그램 : 개막식, 축하공연, 앞산커피축제, 앞산 피트니스(요가인더오징어게임, 클라이밍체험), 앞산 뷰티체험(메이크업 스타일링,두피관리체험,바른자세교정소,천연화장품 만들기 등)
2. 부대프로그램 : 앞산ESG생태체험 놀이터(앞산 나무놀이터, 꿀벌생태체험), 남구 소상공인 플리마켓, 앞산 낭만포차(새바자 3000원식당, 맥주팝업, 푸드트럭) 등","[행사내용]
1. 메인프로그램 : 개막식, 축하공연, 앞산커피축제, 앞산 피트니스(요가인더오징어게임, 클라이밍체험), 앞산 뷰티체험(메이크업 스타일링,두피관리체험,바른자세교정소,천연화장품 만들기 등)
2. 부대프로그램 : 앞산ESG생태체험 놀이터(앞산 나무놀이터, 꿀벌생태체험), 남구 소상공인 플리마켓, 앞산 낭만포차(새바자 3000원식당, 맥주팝업, 푸드트럭) 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/53b9497a-02cf-48ed-9d46-ee58efc16545_3.jpg,,,,2025-05-17,2025-05-18,대구광역시 남구 고산4길 71 (봉덕동),대구광역시 남구청,053-664-3262
동심한마당,"어린이부터 어른, 모두가 동심으로 하나되는 국민축제","동심한마당은 2005년, 대한민국의 동심 회복을 위해 관련 기관, 단체들의 품앗이로 시작되었고 올해로 20주년을 맞이한다. 어린이, 청소년들이 꿈의 대상을 가까이 만나고 체험하며 소통하는 뜻 깊은 자리가 되었고 모든 국민이 동심을 매개로 사랑, 화합, 연민, 존중으로 하나되는 열린 공동체 축제이다. 본 행사는 매년 수많은 국민과 부처, 기관, 단체들이 품앗이로 참여하여 공연, 각종 체험활동 등 모든 프로그램이 무료로 진행된다.
[행사내용]
전체 프로그램
- 오프닝 공연, 국방부 의장대 시범, 군악대 공연, 태권도 시범, 전통악대,대중음악공연, 어린이, 청소년 (합창, 뮤지컬, 오케스트라, 댄스, 밸리댄스) 공연, 코레오그라피 퍼포먼스, 장애&비장애인이 함께하는 예술콘서트
- EBS캐릭터 체험, 노란우산 가족사랑 동시,그림 대회, 소방안전체험, 구급차 체험, 건강체험터, 베이비페어, 요술풍선 만들기 체험, 종이접기 체험, 닭강정 체험, 마이리틀셰프게임, 붕어빵, 호두과자 만들기 체험, 솜사탕 만들기 체험
- AR증강현실 인터랙티브 독서체험, 검보그림그리기 체험, 종이저금통 접기, 키링 만들기 체험, 염주 만들기 체험, 크로마키 사진제작 체험, 어린이 역할놀이, 중국 문화와 전통체험, 체코 문화와 언어체험, 무드등 체험, 꽃차 체험, 투표체험, 나만의 별자리 만들기 체험, 스티커 사진찍기, 배리어프리 전시회(발달장애아동 작품), 페이스페인팅, 고려인 음식문화체험, 천연염색체험, 전래동화 오디오북, 로봇공학체험, 나만의 미니 그림책 만들기 체험, 인체여행 모형 만들기 체험, 분리수거 게임, 재활용 만들기 체험, 유튜버와 함께하는 동심한마당
- 유아어린이 콘텐츠 상영관, 야구체험, 테니스체험, 카누체험, 전통놀이, 전통문화'봉숭아물들이기'체험, 보드게임, 악기체험, 감사편지쓰기 캠페인, 각종 교육체험 등 (예정)","[행사내용]
전체 프로그램
- 오프닝 공연, 국방부 의장대 시범, 군악대 공연, 태권도 시범, 전통악대,대중음악공연, 어린이, 청소년 (합창, 뮤지컬, 오케스트라, 댄스, 밸리댄스) 공연, 코레오그라피 퍼포먼스, 장애&비장애인이 함께하는 예술콘서트
- EBS캐릭터 체험, 노란우산 가족사랑 동시,그림 대회, 소방안전체험, 구급차 체험, 건강체험터, 베이비페어, 요술풍선 만들기 체험, 종이접기 체험, 닭강정 체험, 마이리틀셰프게임, 붕어빵, 호두과자 만들기 체험, 솜사탕 만들기 체험
- AR증강현실 인터랙티브 독서체험, 검보그림그리기 체험, 종이저금통 접기, 키링 만들기 체험, 염주 만들기 체험, 크로마키 사진제작 체험, 어린이 역할놀이, 중국 문화와 전통체험, 체코 문화와 언어체험, 무드등 체험, 꽃차 체험, 투표체험, 나만의 별자리 만들기 체험, 스티커 사진찍기, 배리어프리 전시회(발달장애아동 작품), 페이스페인팅, 고려인 음식문화체험, 천연염색체험, 전래동화 오디오북, 로봇공학체험, 나만의 미니 그림책 만들기 체험, 인체여행 모형 만들기 체험, 분리수거 게임, 재활용 만들기 체험, 유튜버와 함께하는 동심한마당
- 유아어린이 콘텐츠 상영관, 야구체험, 테니스체험, 카누체험, 전통놀이, 전통문화'봉숭아물들이기'체험, 보드게임, 악기체험, 감사편지쓰기 캠페인, 각종 교육체험 등 (예정)",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/b215ffde-a542-418b-863a-6a2ae95af734_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b215ffde-a542-418b-863a-6a2ae95af734_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b215ffde-a542-418b-863a-6a2ae95af734_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b215ffde-a542-418b-863a-6a2ae95af734_6.JPG,2025-05-17,2025-05-17,서울특별시 영등포구 의사당대로 1 국회의사당 잔디광장,품앗이운동본부/20주년 국회동심한마당 위원회,02-595-3325
부산가족축제,"5월의 오늘, 온 가족은 빛나","5월 가정의 달, 가정의 날, 부부의 날 기념 행사이다. 가족의 소중함 및 중요성을 고취하고 가족친화적인 문화환경을 조성하여 건강가정을 구현하고자 한다. 2007년부터 시작해 올해로 19회를 맞이한 부산가족축제는 남녀노소, 다양한 가족 누구나 참여할 수 있는 가족놀이체험의 장이다. 제19회 축제는 '5월의 오늘, 온 가족은 빛나'를 주제로 안전하고 즐겁게 즐길 수 있는 가족프로그램 운영한다. 주요 프로그램은 온오프라인 가족체험 42개 가족체험, 우리가족 반려로봇' 가족특별체험, 가족가치 퀴즈, 가족상담, 공연 및 이벤트이다. 본 행사에 대한 자세한 내용은 '부산가족축제 홈페이지'에서 확인 가능하다.

*온라인 축제 일정 05.09~ 05.25
[행사내용]
1.오프라인축제(부산시민공원 다솜마당): '돌봄, 포용, 평등' 주제 30개 가족체험, '우리가족 반려로봇' 특별체험, 가족상담, 무대행사
2.온라인축제(부산가족축제 홈페이지): '돌봄, 포용, 평등' 주제 12개 가족체험, 가족가치 이벤트, 소문내기 이벤트","[행사내용]
1.오프라인축제(부산시민공원 다솜마당): '돌봄, 포용, 평등' 주제 30개 가족체험, '우리가족 반려로봇' 특별체험, 가족상담, 무대행사
2.온라인축제(부산가족축제 홈페이지): '돌봄, 포용, 평등' 주제 12개 가족체험, 가족가치 이벤트, 소문내기 이벤트",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/cb750a8f-a9f4-4dfb-b164-b6849eae908c_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_cb750a8f-a9f4-4dfb-b164-b6849eae908c_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_cb750a8f-a9f4-4dfb-b164-b6849eae908c_5.jpg,,2025-05-17,2025-05-17,"부산광역시 부산진구 시민공원로 73 (범전동) 부산시민공원 다솜마당, 부산가족축제 홈페이지",부산광역시/부산 지역 13개소 건강가정지원센터 및 가족센터,051-580-9009
